context,question,answerA,answerB,answerC,Refined_ATOMIC_Label
Aubery and Carson were dating and Cameron was angry about it.,How would Cameron feel afterwards?,happy for talking,Hateful,like a mean person,xReact
Jordan took the man to the shoe store because the man was homeless and had worn down shoes.,What will Jordan want to do next?,buy shoes for themselves,look for shoes they like,ask the man what he wants,oWant
Lee accidently met Austin at the park and they ended up having a great time together.,How would Lee feel afterwards?,angry,pleased,sad,xReact
Quinn knew Ash well enough to know that they never would commit such a terrible crime.,How would Quinn feel afterwards?,not guilty,in jail,intelligent,xReact
Taylor looked up their friend on Instagram after he came back from vacation.,What will his other friends want to do next?,know their friends Instagram name,go on their own vacation,see his pictures,oWant
"Feeling quite romantic over it all, Taylor gave their partner a kiss on the cheek.",What will Others want to do next?,Others will be annoyed with Taylor,give it back,Others will be angry with Taylor,oWant
She was staing overnight for the first time with her friends from the Brownie Troop.,How would Sasha feel afterwards?,sociable and friendly with others,embarassed and ashamed,would be proud for soiling the sleeping bag,xReact
Jan gave birth to her third child and the labor was especially painful and difficult.,How would Jan feel afterwards?,At peace,heartbroken,sad,xReact
"After getting a feedback from their boss, Addison took their advice very seriously.",How would you describe Addison?,expecting the boss to be a good listener,serious,a good listener,xAttr
"Sydney's mother brought them to the doctor's office for a shot. When it came time to get the shot, Sydney dug in their heels and refused.",How would you describe Sydney?,frightened,stubborn,clever,xAttr
Skylar rubbed their hands together but the people still looked very cold.,What will Skylar want to do next?,Give them a warm blanket,Give them an ice cream cone,Take off their coats,oWant
Cameron felt unhappy but playing with his puppy cheered him up.,How would Cameron feel afterwards?,relieved,angry,easy to cheer up,xReact
tracy brought the kids to the party and everyone found the kids to be annoying.,What will Others want to do next?,go to the party,go somewhere else,include the kids,oWant
"Riley knew she could not beat Kendall, but she had no alternative, so she fought Kendall in a battle.",What will happen to Riley?,get a trophy for winning the boxing match,remain unbeaten,suffer a loss,oEffect
Jesse had a date with Cameron when her friend called to see if she wanted to go see Lady Gaga live. Instead of keeping her date Jesse stood Cameron up and went to the concert.,What did Jesse do?,they are a person who prioritizes themselves,they are a person who puts themselves first,stood up her date Cameron,oEffect
Lee gave Taylor's friend a tip at the restaurant that night.,How would you describe Lee?,Cheap,Very generous,Frugal,xAttr
Ash threw up their arms on the very fun roller coaster.,What will Sasha want to do next?,have fun,buy tickets for the roller coaster,start crying,oWant
Quinn handed the book back to the librarian before reading it.,Why did Quinn do this?,find a book that she preferred,find a book that seemed enjoyable,quinn hated the cover,xIntent
Lee found their friends outside and playing in the park nearby.,What does Lee need to do before this?,check out the movie theater for his friends,loved,let his parents know that he was going to try to find their founds,xNeed
Casey never received attention from boys so she went to go get a new haircut.,What will Casey want to do next?,stay in her house,ignore everyone,get a date,oWant
It was almost time for Tracy to go to work. Robin left Tracy's home.,What will Tracy want to do next?,get ready to head the their job,prepare to leave from work,go to Tradcy's home,oWant
Jordan affected children's happiness and wanted to be a foster parent.,What will Jordan want to do next?,foster kids,work in an office,go swimming,oWant
"ash could tell this person did not want to listen to him anymore, so he got to the point.",Why did Ash do this?,needed to be ready to leave,needed to prepare a good speech,not be a drag on other people,xIntent
Jesse lived with their wife to help with the bills and to be happy together.,Why did Jesse do this?,great,bored,get married,xIntent
Jan didn't like the way her picture turned out so she asked Kai to fix it. Kai improved Jan's picture as understood.,What will Kai want to do next?,get approval,better about herself,do a favor for her friend Jan,oWant
Aubrey fed Tracy's kids lunch today when Tracy had to go to work.,What will happen to Aubrey?,be grateful,get paid by Tracy,get yelled at by Tracy,oEffect
"After a long day at work, Jan came out at night with coworkers.",What will Jan want to do next?,talk to her coworkers,have fun,be silent,oWant
Kendall snatched their journal away so that nobody else could read it.,Why did Kendall do this?,protect sensitive information,try to get it back,have everybody read it,xIntent
Ash redeemed himself after he wound up falling down while playing the basketball game.,What does Ash need to do before this?,beat everyone else,make no mistakes,play a basketball game,xNeed
Carson failed a test. They felt frustrated.,How would Carson feel afterwards?,optimistic,as ignorant,would fee like a loser,xReact
Cameron got someone else to pick up the children from school.,How would Cameron feel afterwards?,glad to have the emergency handled,glad to help out with the children,happy to their boss who let them off,xReact
Sasha got revenge on her sister for stealing her first boyfriend of two years.,How would you describe Sasha?,High confidence,Distraught for it,Great for it,xAttr
After jumping off the roof of his house Quinn had trouble breathing.,How would you describe Quinn?,foolish,patient,light headed,xAttr
Sasha made Kai mad by messing with them.,How would you describe Sasha?,joking around,annoying to Kai,being mean to Kai,xAttr
Remy gave Casey a different interpretation about what they thought happened.,What will Casey want to do next?,learn if Remy agrees with what they think happened,thinks about it,talk about what Remy thinks about their thoughts,oWant
Robin and their friends wanted to go to a movie so Robin looked up movie times online.,Why did Robin do this?,pick a theater,nap during the movie,go to an early movie because they worked the next day,xIntent
Carson wanted to be a engineer so he attended school to get a degree.,What will Carson want to do next?,study,learn about a career as an engineer,finish college,oWant
Austin sat on Bailey's lap because all the other chairs were taken.,How would Austin feel afterwards?,feeling shocked,funny,feeling loved,xReact
Lee gave their friend Taylor a smile and laughed when Taylor made a joke.,How would Taylor feel as a result?,like impressing Taylor,Like they were funny,Like they gave their friend an answer,xReact
Casey called Aubrey's parents to check how are they doing.,How would you describe Casey?,someone who love to party,someone lovely,glad to know how they are,xAttr
Sydney asked the teacher if Ash could have one when they were handing out books.,What will happen to Ash?,think he should be thanked,be thanked by Ash,get's a book too,oEffect
Carson said thank you to his aunt for the strange and unwarranted gift she gave him.,Why did Carson do this?,return the gift,bad,good,xIntent
Jesse broke her leg and could not take the students on the trip after all.,What does Tracy need to do before this?,rest her leg,tell Jesse she was willing to go,stay at home,xNeed
"Kendall's best friend, Anne, was getting married.  However, Kendall knew nothing yet.",How would you describe Kendall?,a friend who was happy for Anne,very sad,like buying a present for the bride,xAttr
Jordan shared their experience after wining the champion through different difficulties and challenges.,How would Others feel as a result?,encouraged,proud,great,xReact
Alex made their escape out of the dangerous building that was on fire.,What will Alex want to do next?,indifferent,loved,escape too,oWant
Ash bought clothes for his new year at school.,What does Ash need to do before this?,organize his clothes for each day of the week,remove the tags from the clothes,go to the store,xNeed
Remy left school on account of having the flu that day.,How would Others feel as a result?,quite compassionate,very angry,very sick,xReact
Cameron was pushing her baby Aubrey in her stroller through the park. Aubrey threw toys out of the stroller.,How would Cameron feel as a result?,excited and engaged,tired of picking them up,happy and relieved,xReact
Aubrey pulled them over for speeding too fast on the highway.,How would you describe Aubrey?,Compliance-focused,annoyed at getting a ticket,scared of going to jail,xAttr
Lee told Carson about an idea for a start up company. Carson told Lee it was risky to do it.,How would Lee feel as a result?,rejected,proud,thoughtful,xReact
"My friend was selling popcorn to raise money for the Boy Scouts. Tracy loves popcorn, and placed a large order. Tracy gave money to my friend for the popcorn.",What will Tracy want to do next?,make space in the pantry for the new popcorn packages,tell my friend about their popcorn allergies,suggest to my friend that they stop selling popcorn,oWant
Riley knew Jesse was a shoplifter so they regarded Jesse with suspicious eyes.,Why did Riley do this?,because Jesse was their boss,because Jesse was a criminal,because Jesse was their friend,xIntent
Riley knows someone stole the necklace out of the drawer. Riley watches Jesse with watchful eyes.,Why did Riley do this?,get arrested,think Jesse stole the necklace,get in trouble,xIntent
Carson returned to Robin's house because Carson left his car keys on the table.,What will Robin want to do next?,be invited by Robin to their house,walked Carson to the door to say goodbye,threw the keys out the window in the rain,oWant
Taylor caught a cold in her throat and it wouldnt go away.,How would Taylor feel afterwards?,run down,happy,ill,xReact
Robin built a snowman in the snow and gave it a new name.,What will Robin want to do next?,get angry,destroy it,put a carrot in the nose,oWant
"Kendall wanted to learn how to draw so they bought a pencil, paper, and instructional video.",What will Kendall want to do next?,watch the video,practice painting,buy a paint set,oWant
Robin changed Aubrey into clean clothes after Aubrey spilled her bottle all over herself.,What will happen to Robin?,get Aubrey a new bottle,yell at Aubrey for spilling,ignore the mess Aubrey made,oEffect
"Not wanting to raise too much consternation, Jesse ultimately believed every word.",What will Others want to do next?,work with Jesse,collude,shun Jesse,oWant
Jordan affected the children's grades by offering extra tutoring after school.,How would you describe Jordan?,a reckless woman,a kind and caring teacher,an irresponsible person,xAttr
Addison was feeling sick and in pain and Sydney saw that.,How will Addison feel about Sydney?,know what was wrong,walk away from Sydney,thank Sydney for helping them,oEffect
Skylar went to the dentist who set an appointment to get his tooth filled.,How would Skylar feel afterwards?,nervous,Someone who wants good dental hygiene,cant wait to visit,xReact
Remy gave Skylar her account so Skylar could play the game.,Why did Remy do this?,play with Skylar,be a nice person,steal from Skylar,xIntent
Jan needed help with math and got tutoring from Kia and improved her work.,How would you describe Kai?,Feels happy,Feels smarter,As someone who knows how to teach,xAttr
Sydney wanted to show Kai the new tablet they got so Kai crowded around Sydney.,How would Kai feel afterwards?,Like she knows about the tablet Sydney got,Like she recommend Sydney a new tablet,a curious person,xReact
Remy clicked on the email button and emailed their entire office.,What does Remy need to do before this?,keep contact,be in their office,write an email,xNeed
Riley looked at Jesse.,What will Riley want to do next?,"Question: At the awards dinner, Riley looked at Jesse with admiration. Why did Riley do this?   Jesse had won the top prize for the company and the team",had planned the awards dinner and it had gone very smoothly,Look at something else,oWant
Sasha helped her friend Liza who was in a bad situation. Liza refused to help herself and went back to the bad situation.,How would Sasha after Liza refuses help?,caring,Hurt and frustrated,kind,oEffect
casey was doing an experiment so she kept the mice up all night.,What will happen to the mice?,be happy,find out what happens to the mice,be ready to sleep,oEffect
Bailey had the exams in her hand when the class started. Bailey passed Jesse an examination booklet.,What does Bailey need to do before this?,pass out exams,talk about the exam,needed to wait for class to start,xNeed
Taylor helped Ash move and carried all the boxes.,How would Taylor feel afterwards?,tired,alive,appreciative,xReact
Cameron got out of the way of the team of horses.,What will Cameron want to do next?,A wheel ran over Cameron's foot,moved quickly and fell into a ditch,A horse knocked Cameron out of the way,oWant
"Sasha sat down after lighting the their house on fire, watching it burn around her.",How would Sasha feel afterwards?,Distraught by the spread of the fire,Saddened by the loss of the house,A sense of accomplishment,xReact
"After many months of hard work, Addison eventually got a car.",What does Addison need to do before this?,heave bad credit,get a job,change the oil,xNeed
Carson tried to fight Robin last night when they were drunk.,How would you describe Carson?,a drunkard,guilty,upset,xAttr
Robin changed Aubrey into clean clothes after spilling food over the dress they were wearing.,Why did Robin do this?,have Aubrey eat the food all over her dress,keep Aubrey in the kitchen preparing food,have Aubrey looking and feeling fresh,xIntent
Cameron took Kai's complaint seriously and launched a major investigation into the matter.,What will happen to Kai?,be criticized by Cameron,give a press briefing,be commended by Cameron,oEffect
Riley saved more money when her daughter was in high school.,Why did Riley do this?,run away from her family,pay for college,keep her daughter in high school,xIntent
Jan visisted home for Christmas after finding out that their grandfather had died.,What does Jan need to do before this?,needed to tell her family she wasn't coming home,needed to book a plane ticket,remember Jan's grandfather during Christmas,xNeed
Aubrey was bored one Saturday afternoon so they met a friend at the park.,What will Aubrey want to do next?,talk to their friend,run away from them,take their friend home,oWant
Alex was getting very old and infirm so Alex gave Sydney command.,What will Alex want to do next?,make Sydney take charge,get a new job,relax,oWant
Austin took them out for dinner on that cold evening in Chicago.,What will Austin want to do next?,swim in the ocean,loves them,go home,oWant
"Aubrey pulled the driver over for speeding. They then wrote a ticket,.",How would Aubrey feel as a result?,as normal,like a weak person,like a good cop,xReact
Riley screamed in pain after falling of their bike and breaking their arm.,What will Riley want to do next?,get on the bike,go to a midwife,go to the hospital,oWant
Skylar and their friend played together and Skylar fell in the street.,What will happen to Skylar?,blame her friend,need a band-aid,have no pain,oEffect
Alex wanted to be on their own. They left Robin's side.,How would you describe Alex?,independent,This wanted to be on their own to Alex,scared,xAttr
Carson ordered a large pizza for dinner.,What will Carson want to do next?,cut the grass,washes his hands before dinner,take out the dog,oWant
taylor made a video game for her family but she based it on their experience.,What will Taylor want to do next?,have them test out the video game,they wanted it to be personal,change her mind about making the video game,oWant
Kai wanted everything on their list for Christmas.,What will Kai want to do next?,go Christmas shopping,joy,tell their list,oWant
Alex set Riley on fire in the game when Riley had low health left.,What will happen to Alex?,win the game,will get sick after the game,will quit playing,oEffect
Quinn ate the last piece of cake.  They felt bad about it.,How would Quinn feel afterwards?,like they need to buy another cake,guilty,greedy,xReact
"Riley left home with their sister today, because they were grounded by their step dad.",What will their step dad want to do next?,run away from home,contact police,adopt more children,oWant
Sally was writing in her journal and the nosy Kendall snatched it away from her.,How would you describe Kendall?,not interested in others journals,dominant,someone who snatches things,xAttr
"Robin was eager to get her driver's license, so she took the test immediately after turning 16.",How would you describe Robin?,maturing,goal-oriented,responsible,xAttr
Cameron left the event early because he needed to get changed for a gala even at night.,Why did Cameron do this?,left because he had to change clothes,didnt like the host of the event,go home and change,xIntent
Jan said walk back after seeing signs of danger ahead.,What will Jan want to do next?,listen to them,ignore them,be cautious,oWant
Skylar entered the principal's office at school to tell the principal about the others bad behavior.,What will Others want to do next?,Retaliate against Skylar,tell the truth,Continue to be friends with Skylar,oWant
Alex has autism and has always found that they are very particular about specific details therefore they are always very careful.,How would you describe Alex?,exact,wrong,Like they'd made the most logical choice,xAttr
Remy dropped a dime and picked it up right away.,How would you describe Remy?,careless,frivolous,cheap,xAttr
Casey ignored the warning on a carton of expired mik.,How would Casey feel afterwards?,energetic,nauseous,not pragmatic,xReact
Cameron wasted too much money when he went to the mall.,What will Cameron want to do next?,cameron who has  sent a mail to wasted money,cameron who has wasted money,Work more,oWant
Casey put food into the oven so that the family could eat when it was ready.,What does Casey need to do before this?,check on the food,preheat the oven,converse with family,xNeed
Riley went the way of the birds because Riley couldn't fit into modern society.,How would Riley  afterwards?,unique,an enigma,had felt sad,oEffect
jan went to the same school for years so she was best friends with a girl.,What will Others want to do next?,appreciate jan,make sure they kept up their relationship,hate jan,oWant
Austin interfered and got in Sydney's way when she tried to get to work.,What will Sydney want to do next?,live with Sydney,tell Austin to leave her alone,laugh about it with Austin,oWant
Cameron's boss was in a bad mood and tried to shove Cameron but Cameron got out of their way.,How would Cameron feel afterwards?,they are a patient person,they are a pacifist,scared,xReact
Riley sold Sydney's painting for a lot of money to the bidder at the weekend auction.,What will Sydney want to do next?,make Sydney a success,paint the painting,get her money,oWant
Cameron stopped the fight before people got hurt.,What will Cameron want to do next?,The others will cheer Cameron,see a movie,send people home,oWant
Riley regarded Jesse with observant eyes. He didn't trust Jesse because he's known her a long time.,What will Riley do?,be self-conscious,Believe what Jesse says,Not take Jesse's word for anything,oEffect
Lee got Jordan to start walking to school instead of riding the bus.,What will Lee want to do next?,ride the school bus,drive himself to school,"get other friends to walk, too",oWant
Carson gave their friend some milk but their friend was allergic to milk and wanted orange juice instead and Carson agreed to help.,What will Carson want to do next?,get the milk out of the fridge,ask his friend if he would like a drink,Get a different drink,oWant
Jan visited her family for Christmas at home as a gift to them.,What will Others want to do next?,travel back home,pack to go home,talk to Jan,oWant
Addison left for home after college finished up for the semester.,What does Addison need to do before this?,book a plane,finish up with school,enjoy being home,xNeed
Remy gave a bunch of coats to his friends who were cold.,How would you describe Remy?,like he'd done a good deed,selfish,giving,xAttr
Sydney had had dreams of becoming a doctor since she was a small child.,Why did Sydney do this?,didn't have much ambition in life,wanted to get into medical school,didn't care about having a good career,xIntent
Jordan took Kendall to the pet store so she could buy her a fish.,What will Kendall want to do next?,go to the lake,help her pick a fish,take the fish straight home,oWant
Sasha saved their company from destruction before it was far too late.,What will Sasha want to do next?,invest money,needed to go over the company records,throw away money,oWant
Skylar poured water over their head as a mean spirited joke.,How would others feel as a result?,that was kind,that was wrong,remorse,xReact
Riley told Austin's landlord that Austin was making a lot of noise at late hours.,What does Riley need to do before this?,potentially call the police,document incidents,follow up with the landlord,xNeed
Remy was trying to stay quiet but accidentally slipped and said a word.,How would Others feel as a result?,feeling sad,Sad,Victorious,xReact
Tracy gave it to their friend when their friend asked to see it.,What will happen to Others?,see it,hear their friend's opinion,talk about it,oEffect
Riley watched Jesse with observant eyes.,What will happen to Jesse?,creeped out,be confronted by Jesse,be sneered at by Jesse,oEffect
Kai grabbed Carson's tools and then made use of them.,Why did Kai do this?,use them next,want them back next,didn't have any,xIntent
Remy told Casey to meet them at the pond in order to do some fishing.,How would you describe Remy?,eager to go fishing,trying to be friendly,rude to other people,xAttr
Quinn decided to go out drinking with Others at the bar.,What will Others want to do next?,wanted to celebrate,smoke a few hookahs,have a few beers,oWant
Jesse was upset but unfortunately went a little too far when he yelled at his brother.,How would you describe Jesse?,Happy,remorseful,upset,xAttr
"Casey was the main actor in Jordan book,Jordan mentioned him in chapter one to make aware her to the reader.",Why did Jordan do this?,tell Cameron about the story,eliminate the actor,make his story intresting,xIntent
"Aubrey had a lot of important decisions to make, so Aubrey spent time thinking.",What does Aubrey need to do before this?,decide,make the decision,find some peace and quiet,xNeed
Lee set the stage with all of the decorations and lights.,How would you describe Lee?,proud of the stage,Motivated,tired from the work,xAttr
Alex had a great time on a date with Taylor last night.,What will Alex want to do next?,call Taylor,meet new people,fall in love,oWant
Jesse closely considered the signs when lightning struck her house three times.,How would Jesse feel afterwards?,happy,glad,superstitious,xReact
"Aiden had been suffering from toothache pain for over a week, but could not afford dental care, so their friend Casey pulled the tooth.",How would Others feel as a result?,grateful to Casey,angry at Casey,angry at Aiden,xReact
The kids wanted to go to the park to play with their friends. Tracy brought the kids to the park.,How would Tracy feel afterwards?,relaxed after a long day with the kids,happy to see the kids play,unhappy to see the kids play,xReact
remy went to the mall and made more friends.,What does Remy need to do before this?,stay at home,get a ride to the mall,lose interest in interacting with others,xNeed
Austin went out to eat with the family last weekend because it was for a party.,What will happen to Austin?,be happy,be sick,be ill,oEffect
Bailey was mad at work and then told Alex to send the letter.,How would you describe Bailey?,commanding,careless all day today,under high pressure at work,xAttr
My friend was having relationship troubles and Tracy knew she could help.,What will happen to Tracy?,good about himself,becomes friends with my friend,become enemies with my friend,oEffect
Sasha was bullied by the people in her building so she got revenge on them.,What will Sasha want to do next?,Deny that she did anything,Turn herself into the police,Ask the people to be friends,oWant
Austin took them out for dinner after working hard and got promoted in the new job.,What will Others want to do next?,say congratulations,make reservations for a table,make reservations at the restaurant,oWant
Sydney made some friends after moving to a new small town.,What does Sydney need to do before this?,get to know Sydney,get out of the house,spend time with Sydney,xNeed
Quinn hired Lee for a photo shoot as a swimwear model. Quinn posed Lee in several positions and thought he looked best after she crossed his arms.,Why did Quinn and Lee work together?,was a photographer and needed a model for a shoot,make sure they looked alright,and Lee were both swimwear models,xIntent
Austin served without pay because he really loved his country and wanted to help out.,What does Austin need to do before this?,Talk to someone about being a volunteer,Tell someone they prefer not to be a volunteer,The others will honor him next,xNeed
Sasha went with Austin to a dance that the school was having.,What will Sasha want to do next?,buy a cheap guitar,move out of state,be picked up by Austin,oWant
Bailey told Alex to send the letter overnight since it was important.,How would Alex feel as a result?,like Alex has urgent business,like mailing the letter immediately,rushed,xReact
Lee made copies so that everyone at the table could follow along.,What will Lee want to do next?,keep all the copies,find a copy machine,make sure there are enough,oWant
Austin had lost a lot of weight recently so he wrapped a belt around his waist.,What will Austin want to do next?,take off the belt,continue getting ready,started to eat healthy food,oWant
Taylor gave help to a friend when she was moving houses.,How would you describe Taylor?,caring,like a good friend,like they did a good deed,xAttr
Kai went camping with friends and ate something made him really ill.,What will Kai want to do next?,stay in the woods,go to the hospital,play cards,oWant
austin went to the restaurant for dinner but wanted dessert instead.,What will Austin want to do next?,leave the restaurant,not eat anything,order dessert,oWant
Addison was making a speech in front of a lot of people. Addison regarded every comment made.,How would Addison feel as a result?,sad and furious,upset and mean,good and kind,xReact
Quinn murdered Remy's wife while Remy was away on a business trip.,How would Quinn feel afterwards?,guilty,like a good person,sad,xReact
"Wanting to make some extra money for college, Cameron worked every day at the supermarket.",How would Cameron feel afterwards?,responsible,A person who worries about their financial status,A person who worries about their savings,xReact
Casey is talented and well liked by others.,What will Casey want to do next?,relax,learn songs,perform well and talk to others,oWant
Riley was the best of friends when he was in a good mood.,What will happen to Riley?,resentful,unloved,be loved by many,oEffect
Addison regarded every person carefully before they decided whom to talk to.,How would you describe Addison?,happy that she acted that way,like she made a good choice,"a nervous, calculated person",xAttr
Cameron layered clothes on to walk to the city in the middle of winter.,What will Cameron want to do next?,spend the day in the sun,change into shorts,go get a better jacket,oWant
Sasha was being picked on by her big brother. Sasha got revenge when she popped his tires.,What will Others want to do next?,yell,lock her doors,hide from her brother,oWant
"There was going to be a bake sale at school and Bailey asked Tracy, the best cook in class, to make cookies to help.",What is happening at the school?,sell cookies for charity,going to bring cookies to school,going to be a pep rally,oEffect
Casey stated Addison's case. They had been friends for a long time and even went to college together.,Why did Casey do this?,lp Addison with her problems,help Addison get in to college,hug each other,xIntent
"Carson attended school for three years, until they got kicked out.",How would Carson feel afterwards?,a liar,thankful,cheated,xReact
Tracy's kids were hungry so Aubrey made food and fed the kids.,What does Aubrey need to do before this?,prepare food for the kids,wash the dishes,talk to the kids,xNeed
Kendall wrapped string around my neck in order to kill me.,What does Kendall need to do before this?,Throw the string away,Find a reason,Kill someone,xNeed
Robin was paralyzed and was unable to respond on their own.,What will Carson want to do next?,abandon Robin,raise Robin's hand,find an alternative,oWant
Quinn was done with the wrench so he handed the tools back.,How would Quinn feel as a result?,forgetful,on his own,thoughtful,xReact
Taylor helped Ash move into their new apartment on the top floor.,How would you describe Taylor?,a person with a dolly,a kind and caring nurse,a kind and caring friend,xAttr
Kai sat in Austin's lap for the group club photo in the yearbook.,How would you describe Kai?,self centered sometimes,wanted,a flirtatious individual,xAttr
Alex bought his entire team gold watches and when he gave them the present he put each watch on their wrist himself.,How would you describe Alex?,A greedy person,satisfied over the gift he gave his team,A thoughtful person,xAttr
Jordan left his book on a bench at the park.,How would you describe Jordan?,very careful,a forgetful person,would be embarrassed,xAttr
Ash cannot function and be productive without having breakfast.,What will Ash want to do next?,wash the dishes,go back to sleep,go to school,oWant
Cameron showed it off their friends when he got a new sports car.,How would Others feel as a result?,jealous of Cameron,wealthy,pleased with their own cars,xReact
Casey was being silly and kept them up all night.,What will Casey want to do next?,play together,get some sleep,have fun,oWant
"Jesse was feeling very hungry but didn't like the school cafeteria food, so he left the premises with permission.",What will Jesse want to do next?,go eat at home,did this to get food,did this to satisfy hunger,oWant
Tracy took Jesse's students to the playground. Jesse had an important appointment she needed to get to.,What does Tracy need to do before this?,go with jesse to the appointment,check the playground,Make sure the students are ready to go,xNeed
Tracy gave video games to my friend. They knew they were quality titles they would enjoy.,What will Tracy want to do next?,give bad advice,be generous,give advice,oWant
Jordan brought Bailey's kids a toy because they wanted Bailey kids to be happy and entertained.,What will Jordan want to do next?,smile,give the toys to her kids,be angry,oWant
Kai liked to play games with their friends. They spent several hours online.,How would Kai feel afterwards?,computer savvy,sad,needed,xReact
"Jordan and Tracy were out on a date, they were having such a great time then Jordan leaned toward Tracy.",What will Jordan want to do next?,get closer,move away,kiss Tracy,oWant
Robin had thought about if for a week and decided to take Kai's advice.,What is Robin going to do?,a person who took Kai's advice,Became a deputy,strangely close ties all their lives,oEffect
Casey forgot their lunch.  Aubrey dropped it at their school to keep Casey from starving.,What will Aubrey want to do next?,go to the school,see if Casey enjoy the lunch,go home,oWant
Kai grabbed Carson's tools and put them away for Carson when they had to leave in a hurry.,What will Kai want to do next?,ask Carson for payment,go back home to rest,go find Carson,oWant
Lee gave birth to twins when she was at the hospital.,What will Lee want to do next?,see her twins,ignore the babies,go get some ice cream,oWant
"While they were at the park for an afternoon of games, Quinn threw the frisbee to his friend.",What does Quinn need to do before this?,play frisbee,be at home,have a friend,xNeed
Jesse was upset but unfortunately went a little too far when he yelled at his brother.,How would you describe Jesse?,Happy,remorseful,upset,xAttr
"Addison had been practicing for the driver's exam for months. He finally felt he was ready, so he signed up and took the test.",How would you describe Addison?,excited,Careless,Devoted,xAttr
Tracy threw in the towel on the history test because she knew she would fail.,What will Tracy want to do next?,Fail the next test too,Take the class again,Fail to study,oWant
Taylor caught a cold because they kissed Jan.,How would you describe Taylor?,cautious,conflicted,a person who likes to kiss,xAttr
Addison ate their bread and then immediately asked for seconds and thirds.,How would you describe Addison?,stuffed,glutenous,careful about food,xAttr
"After they picked a hiking trail to take together, Sydney met Skylar near the canyon edge.",What does Sydney need to do before this?,greet each other,walk along the rim,pack for the hike,xNeed
Casey was feeling pains in their arms and their chest.,How would you describe Casey?,in tune with their body,knowledgeable about medical problems,foolish,xAttr
Austin got extra help on the paper due tomorrow.,How would Austin feel afterwards?,lazy,happy,dissapointed,xReact
Jesse was recovering from her battle with the flu. They were feeling much better than before.,How would you describe Jesse?,healthy,a sick person,a fit person,xAttr
Alex took up collection of stamps after going to the antique store and bought them.,What will Alex want to do next?,Put the book on display,store who has stocked collection of stamps,alex who has take a collection of stamps at antique store,oWant
"After Jesse thoroughly criticized Riley's new painting, Riley regarded Jesse with hurtful eyes.",What will Jesse want to do as a result?,tell Riley they're sorry for what they said,tell Riley they are sorry for the painting,apologize to Riley for the painting,oWant
Aubrey was taking a test and had an answer sheet hidden on her desk.,How would Aubrey feel as a result?,proud of self,worried about it,a cheater,xReact
Ash gave up on the test he was taking in math.,What will Ash want to do next?,Think about math more,Forget the test,Take another math class,oWant
Bailey embarrassed their girlfriend infront of all her friends by making a joke about her dress.,What does Bailey need to do now?,Make it up to her,apologise,continue to joke about their girlfriend,xNeed
Robin went with Jan's friends to school when her own friends didn't show up.,What will Robin do next?,thank their own friends,be ungrateful to Jan's friends,ask her own friends why they were not there,oEffect
Austin took them out for dinner and the others were pleased when he told them to pick something off of the dessert menu.,What will happen to Others?,The others will order dessert,The others will close their menue,smiles,oEffect
"Aubrey practiced a lot, tried out for the team and made the squad.",What will Aubrey want to do next?,practice so they can play,should watch the team play to understand the sport,do their best for her team,oWant
Jesse went to far when he yelled at his students and pondered over it all evening after school.,How would Jesse feel afterwards?,As a teacher who cares about their students,regretful afterwards,bad about their reaction,xReact
Robin went to school with Jan and went to her first class with her as well.,What will Robin want to do next?,go home,sleep,work in class,oWant
Alex needed help cleaning the kitchen and Aubrey was helpful and cleaned as well.,How would you describe Aubrey?,loving,proud,As someone who helps friends,xAttr
Addison had run away after being mistreated by their wicked stepmother.,How would you describe Addison?,concerned for their safety,free spirit,giving roses to the stepmother,xAttr
Aubrey helped Sasha move by bringing their big truck over to pack boxes into.,What does Aubrey need to do before this?,help Sasha unpack things,trade in their car,have a big truck,xNeed
Cameron rode Jan's motorcycle to work when their car would not start.,How would Cameron feel afterwards?,angry at Jan,happy and excited by the motorcycle,hurt by the motorcycle,xReact
Robin told Carson that she did not want to go out with him.,How would you describe Robin?,uninterested,loving,caring,xAttr
Remy joined a band after he learned how to play the guitar.,Why did Remy do this?,hear him play,share what he had learned,show off his piano skills,xIntent
Lee challenged her to a fight after she talked bad about Lee to his friends.,How would Others feel as a result?,happy that Lee wants a fight,angry,fight,xReact
Bailey destroyed the enemy's weapons while the enemy was fast asleep.,Why did Bailey do this?,leave the enemy camp,save her people,report back to their superiors,xIntent
After everyone finished their food they were going to go to a party so Kai decided to finish his food first.,What will Others want to do next?,Eat there food quickly,Throw their food away,go back for a second serving,oWant
Carson had homework they had to do but they were at a friends house playing video games.,How would you describe Carson?,As someone not as concerned about what they should be doing as they should,As someone who could be thinking about what they should be doing if the could,As someone who likes to do thing,xAttr
Taylor helped Ash move in to their new house.,What does Taylor need to do before this?,thank Ash,go get food,be able to help,xNeed
Robin refused to pay her share of the meal even though everybody had agreed beforehand.,What will Others want to do next?,stop inviting Robin,take advantage,save money,oWant
"Their mother had cooked a delicious dinner, but Austin wanted dessert instead.",Why did Austin do this?,have some pasta,have some cake,eat the main course,xIntent
Taylor attended their father's funeral after he passed away from cancer.,What does Taylor need to do before this?,honor their father,mourn their father,travel to the funeral,xNeed
"Jesse shook Cameron's head slightly left and right, making sure her muscle strain wasn't too bad.",How would Jesse feel afterwards?,skillful,ok,ok,xReact
