idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,B==T,A==T
979, Cameron took Kai's complaints seriously after Kai came to her crying about the event. What will Cameron want to do next? ,"['Be kind', 'Put the matter off', 'Investigate the matter']",2," Cameron took Kai's issues seriously after Kai sought them out, emotional about the situation.  What will Cameron want to do next? ","['Be kind', 'Put the matter off', 'Investigate the matter']",0,2,TRUE,FALSE
984, Carson gave her some milk to try to get the baby to stop crying. What will happen to the baby? ,"['Hope the milk will work', 'Drink water', 'Stop crying']",0, Carson provided the infant with a comforting drink to quieten their distress.  What will happen to the baby? ,"['Hope the milk will work', 'Drink water', 'Stop crying']",1,2,FALSE,FALSE
992, Lee had lost their job so they had a yard sell and sold things. Why did Lee do this? ,"['Because the things were in the way', 'Needed to pay bills', ""Didn't need the things""]",1," Lee had lost their job, so they held a yard sale and got rid of some of their stuff.  Why did Lee do this? ","['Because the things were in the way', 'Needed to pay bills', ""Didn't need the things""]",0,1,TRUE,FALSE
994, Jordan told a funny joke and his friends laughed very hard at it. What will happen to Jordan? ,"['Steal some money', 'Good', 'Go to bed']",2, Jordan made a witty comment that elicited hearty laughter from his pals.  What will happen to Jordan? ,"['Steal some money', 'Good', 'Go to bed']",1,1,FALSE,TRUE
1003, Jordan had a hard time empathizing with other people around them. How would you describe Jordan? ,"['The people empathizing to hard time', 'Living in a bubble', 'A good listener']",1, Jordan faced challenges in connecting with others on a deeper level and comprehending their experiences.  How would you describe Jordan? ,"['The people empathizing to hard time', 'Living in a bubble', 'A good listener']",2,1,TRUE,FALSE
1010, Robin got gas at the gas station and payed for what they bought. How would you describe Robin? ,"['Worried', 'Someone that has fuel', 'Someone that asked about fuel']",0, Robin obtained fuel at the gas station and settled the financial obligation for their purchase.  How would you describe Robin? ,"['Worried', 'Someone that has fuel', 'Someone that asked about fuel']",1,1,FALSE,TRUE
1013, Jesse likes going to school and has good grades. Jesse took a big test this morning and did well on the it. How would you describe Jesse's personality? ,"['Worried about her school work', 'Confident', 'Passionate about her school work']",2," Jesse is an accomplished student who consistently demonstrates academic excellence. This morning, they successfully completed a challenging test.  How would you describe Jesse's personality? ","['Worried about her school work', 'Confident', 'Passionate about her school work']",1,2,TRUE,FALSE
1014, The people bullied Sasha all her life. But Sasha got revenge on the people. What will the people want to do next? ,"['Do whatever Sasha says', 'Get even', 'Flee from Sasha']",2," Sasha experienced persistent bullying, but ultimately found a way to turn the tables on her aggressors.  What will the people want to do next? ","['Do whatever Sasha says', 'Get even', 'Flee from Sasha']",1,2,TRUE,FALSE
1017," Addison was going to be working late. To help out, Jesse offered to walk Addison's dog. What will Jesse want to do next? ","['Be a friend to Addison', 'Help out for Addison', 'Take the dog to the park']",2," Jesse noticed that Addison was going to be busy, so they offered to help out by taking Addison's dog for a walk.  What will Jesse want to do next? ","['Be a friend to Addison', 'Help out for Addison', 'Take the dog to the park']",1,2,TRUE,FALSE
1024, Remy left school on account of their live being a total mess that needs to be figured out. How would you describe Remy? ,"['Are headstrong', 'Frustrated', 'Upset']",2, Remy exited education prematurely owing to their existence being a tangled web of problems that required careful untangling.  How would you describe Remy? ,"['Are headstrong', 'Frustrated', 'Upset']",1,1,FALSE,TRUE
1029, Casey was supposed to buy Jordan's car but every time Casey called Jordan had an excuse. Jordan was giving Case they runaround. What will happen to Jordan? ,"['Make more friends', ""Won't make any money"", 'Lose money']",2," Casey and Jordan had a scheduled meeting to discuss the purchase of Jordan's car, but each time Casey tried to reach out, Jordan was unavailable with yet another explanation. The situation seemed intentional and frustrating for Casey.  What will happen to Jordan? ","['Make more friends', ""Won't make any money"", 'Lose money']",1,1,FALSE,TRUE
1030, Riley and their friend were best friends. What will happen to Others? ,"['Share happiness with their friend', 'Share sadness with their friend', 'Have fun doing things with Riley']",2, Riley and their companion were closest confidants.  What will happen to Others? ,"['Share happiness with their friend', 'Share sadness with their friend', 'Have fun doing things with Riley']",1,0,FALSE,FALSE
1035, Sasha set their friend's house on fire to show them they did not like them. Why did Sasha do this? ,"['Express their anger', 'Be a good friend', 'Buy gasoline']",2," Sasha's frustration with their friend boiled over into a destructive act, as they set their house ablaze to convey their displeasure.  Why did Sasha do this? ","['Express their anger', 'Be a good friend', 'Buy gasoline']",0,0,FALSE,TRUE
1036, Alex was looking for a knife they dropped. Alex searched the woods. How would Alex feel afterwards? ,"['Sad', 'Cheerful', 'Enlightened']",0," Alex methodically combed the woods for the missing knife, determined to find it before nightfall.  How would Alex feel afterwards? ","['Sad', 'Cheerful', 'Enlightened']",2,0,TRUE,FALSE
1038, Sasha was playing a game but they got tired of it. How would you describe Sasha? ,"['Fed up', ""Someone that want's something else to do"", 'Bored']",2," Sasha was engrossed in their gaming experience, but eventually felt drained from it.  How would you describe Sasha? ","['Fed up', ""Someone that want's something else to do"", 'Bored']",0,2,TRUE,FALSE
1045, Quinn knew Ash well enough to know that they never would commit such a terrible crime. How would Quinn feel afterwards? ,"['Not guilty', 'In jail', 'Intelligent']",0, Quinn was familiar with Ash's nature and was confident that they would never do anything as reprehensible as committing a terrible crime.  How would Quinn feel afterwards? ,"['Not guilty', 'In jail', 'Intelligent']",1,2,FALSE,FALSE
1047," Feeling quite romantic over it all, Taylor gave their partner a kiss on the cheek. What will Others want to do next? ","['Others will be annoyed with Taylor', 'Give it back', 'Others will be angry with Taylor']",0," Taylor shared a tender smooch with their partner, their affection evident in the soft touch of their lips.  What will Others want to do next? ","['Others will be annoyed with Taylor', 'Give it back', 'Others will be angry with Taylor']",1,1,FALSE,TRUE
1052, Skylar rubbed their hands together but the people still looked very cold. What will Skylar want to do next? ,"['Give them a warm blanket', 'Give them an ice cream cone', 'Take off their coats']",0," Skylar's hand gesture seemed to offer a sense of comfort, yet the group's frigid demeanor remained unchanged.  What will Skylar want to do next? ","['Give them a warm blanket', 'Give them an ice cream cone', 'Take off their coats']",2,0,TRUE,FALSE
1053, Cameron felt unhappy but playing with his puppy cheered him up. How would Cameron feel afterwards? ,"['Relieved', 'Angry', 'Easy to cheer up']",0," Cameron experienced a drop in mood, but engaging with his lively puppy lifted his spirits.  How would Cameron feel afterwards? ","['Relieved', 'Angry', 'Easy to cheer up']",2,0,TRUE,FALSE
1059, Quinn handed the book back to the librarian before reading it. Why did Quinn do this? ,"['Find a book that she preferred', 'Find a book that seemed enjoyable', 'Quinn hated the cover']",2," The book was returned to its rightful owner, the librarian, before Quinn began to peruse its contents.  Why did Quinn do this? ","['Find a book that she preferred', 'Find a book that seemed enjoyable', 'Quinn hated the cover']",1,0,FALSE,FALSE
1065, Jesse lived with their wife to help with the bills and to be happy together. Why did Jesse do this? ,"['Great', 'Bored', 'Get married']",0, Jesse cohabited with their significant other for mutual economic gain and emotional fulfillment.  Why did Jesse do this? ,"['Great', 'Bored', 'Get married']",1,2,FALSE,FALSE
1066, Jan didn't like the way her picture turned out so she asked Kai to fix it. Kai improved Jan's picture as understood. What will Kai want to do next? ,"['Get approval', 'Better about herself', 'Do a favor for her friend Jan']",1," Jan wasn't satisfied with the final product of their photo shoot, so they asked Kai to make some adjustments. Kai being a skilled photographer, quickly understood what Jan wanted and made the necessary changes to the picture, resulting in a great end result.  What will Kai want to do next? ","['Get approval', 'Better about herself', 'Do a favor for her friend Jan']",2,2,FALSE,TRUE
1077, Robin and their friends wanted to go to a movie so Robin looked up movie times online. Why did Robin do this? ,"['Pick a theater', 'Nap during the movie', 'Go to an early movie because they worked the next day']",0," Robin and their companions wanted to go to a movie, so they searched for the schedule online.  Why did Robin do this? ","['Pick a theater', 'Nap during the movie', 'Go to an early movie because they worked the next day']",2,0,TRUE,FALSE
1088, Ash bought clothes for his new year at school. What does Ash need to do before this? ,"['Organize his clothes for each day of the week', 'Remove the tags from the clothes', 'Go to the store']",2, Ash obtained some garments for the start of his academic journey this year.  What does Ash need to do before this? ,"['Organize his clothes for each day of the week', 'Remove the tags from the clothes', 'Go to the store']",0,2,TRUE,FALSE
1101," Not wanting to raise too much consternation, Jesse ultimately believed every word. What will Others want to do next? ","['Work with Jesse', 'Collude', 'Shun Jesse']",0," Jesse was cautious about stirring up controversy, but he accepted the statements as true without further questioning.  What will Others want to do next? ","['Work with Jesse', 'Collude', 'Shun Jesse']",1,0,TRUE,FALSE
1116," After many months of hard work, Addison eventually got a car. What does Addison need to do before this? ","['Heave bad credit', 'Get a job', 'Change the oil']",1, Addison's persistence paid off when they finally secured a shiny new set of wheels after months of diligent work.  What does Addison need to do before this? ,"['Heave bad credit', 'Get a job', 'Change the oil']",2,1,TRUE,FALSE
1120, Riley saved more money when her daughter was in high school. Why did Riley do this? ,"['Run away from her family', 'Pay for college', 'Keep her daughter in high school']",1, Riley made a conscious effort to save money during the time his/her child was in high school.  Why did Riley do this? ,"['Run away from her family', 'Pay for college', 'Keep her daughter in high school']",2,1,TRUE,FALSE
1129, Carson ordered a large pizza for dinner. What will Carson want to do next? ,"['Cut the grass', 'Washes his hands before dinner', 'Take out the dog']",2, A large pizza was commanded for the evening repast by Carson.  What will Carson want to do next? ,"['Cut the grass', 'Washes his hands before dinner', 'Take out the dog']",1,1,FALSE,TRUE
1131, Kai wanted everything on their list for Christmas. What will Kai want to do next? ,"['Go Christmas shopping', 'Joy', 'Tell their list']",0, Kai sought out all of the gifts on their holiday wish list.  What will Kai want to do next? ,"['Go Christmas shopping', 'Joy', 'Tell their list']",2,2,FALSE,TRUE
1132, Alex set Riley on fire in the game when Riley had low health left. What will happen to Alex? ,"['Win the game', 'Will get sick after the game', 'Will quit playing']",1, Alex capitalized on Riley's vulnerability and ignited a fiery demise in the game.  What will happen to Alex? ,"['Win the game', 'Will get sick after the game', 'Will quit playing']",0,0,FALSE,TRUE
1139, Skylar entered the principal's office at school to tell the principal about the others bad behavior. What will Others want to do next? ,"['Retaliate against Skylar', 'Tell the truth', 'Continue to be friends with Skylar']",0, Skylar made a beeline for the principal's domain to report the unruly actions of their fellow students.  What will Others want to do next? ,"['Retaliate against Skylar', 'Tell the truth', 'Continue to be friends with Skylar']",1,1,FALSE,TRUE
1151, Riley regarded Jesse with observant eyes. He didn't trust Jesse because he's known her a long time. What will Riley do? ,"['Be self-conscious', 'Believe what Jesse says', ""Not take Jesse's word for anything""]",2," Riley examined Jesse with an inquisitive gaze, their familiarity sparking a sense of wariness.  What will Riley do? ","['Be self-conscious', 'Believe what Jesse says', ""Not take Jesse's word for anything""]",0,2,TRUE,FALSE
1160, Skylar poured water over their head as a mean spirited joke. How would others feel as a result? ,"['That was kind', 'That was wrong', 'Remorse']",1, Skylar unexpectedly splashed water onto their head as a lighthearted gag.  How would others feel as a result? ,"['That was kind', 'That was wrong', 'Remorse']",2,1,TRUE,FALSE
1163, Tracy gave it to their friend when their friend asked to see it. What will happen to Others? ,"['See it', ""Hear their friend's opinion"", 'Talk about it']",0, Tracy provided the item to their acquaintance following a verbal request.  What will happen to Others? ,"['See it', ""Hear their friend's opinion"", 'Talk about it']",1,0,TRUE,FALSE
1165, Kai grabbed Carson's tools and then made use of them. Why did Kai do this? ,"['Use them next', 'Want them back next', ""Didn't have any""]",2, Kai capably acquired Carson's resources and expertly leveraged them for a successful outcome.  Why did Kai do this? ,"['Use them next', 'Want them back next', ""Didn't have any""]",1,2,TRUE,FALSE
1167, Quinn decided to go out drinking with Others at the bar. What will Others want to do next? ,"['Wanted to celebrate', 'Smoke a few hookahs', 'Have a few beers']",0," Quinn went out to the bar with others, looking forward to a relaxing evening of drinks and socializing.  What will Others want to do next? ","['Wanted to celebrate', 'Smoke a few hookahs', 'Have a few beers']",2,2,FALSE,TRUE
1169," Casey was the main actor in Jordan book,Jordan mentioned him in chapter one to make aware her to the reader. Why did Jordan do this? ","['Tell Cameron about the story', 'Eliminate the actor', 'Make his story intresting']",2," Casey played a significant part in Jordan's narrative, and she acknowledged his presence in chapter one to familiarize the reader with his character.  Why did Jordan do this? ","['Tell Cameron about the story', 'Eliminate the actor', 'Make his story intresting']",1,2,TRUE,FALSE
1170," Aubrey had a lot of important decisions to make, so Aubrey spent time thinking. What does Aubrey need to do before this? ","['Decide', 'Make the decision', 'Find some peace and quiet']",2, Aubrey pondered their significant choices thoughtfully.  What does Aubrey need to do before this? ,"['Decide', 'Make the decision', 'Find some peace and quiet']",1,2,TRUE,FALSE
1171, Lee set the stage with all of the decorations and lights. How would you describe Lee? ,"['Proud of the stage', 'Motivated', 'Tired from the work']",2," Lee put together an impressive display of festive elements, including decorations and lighting, to set the tone for the occasion.  How would you describe Lee? ","['Proud of the stage', 'Motivated', 'Tired from the work']",1,0,FALSE,FALSE
1178, Bailey was mad at work and then told Alex to send the letter. How would you describe Bailey? ,"['Commanding', 'Careless all day today', 'Under high pressure at work']",2, Bailey was irate at work and barked orders at Alex to send the letter right away.  How would you describe Bailey? ,"['Commanding', 'Careless all day today', 'Under high pressure at work']",0,2,TRUE,FALSE
1183, Quinn hired Lee for a photo shoot as a swimwear model. Quinn posed Lee in several positions and thought he looked best after she crossed his arms. Why did Quinn and Lee work together? ,"['Was a photographer and needed a model for a shoot', 'Make sure they looked alright', 'And Lee were both swimwear models']",0," Quinn engaged Lee for a photoshoot as a swimwear model and directed them into multiple poses, resulting in captivating images that highlighted their physique. Quinn found the crossed arms pose particularly flattering, emphasizing the model's strong features.  Why did Quinn and Lee work together? ","['Was a photographer and needed a model for a shoot', 'Make sure they looked alright', 'And Lee were both swimwear models']",2,0,TRUE,FALSE
1186, Bailey told Alex to send the letter overnight since it was important. How would Alex feel as a result? ,"['Like Alex has urgent business', 'Like mailing the letter immediately', 'Rushed']",2, Bailey advised Alex to send the letter promptly due to its significance.  How would Alex feel as a result? ,"['Like Alex has urgent business', 'Like mailing the letter immediately', 'Rushed']",1,2,TRUE,FALSE
1187, Lee made copies so that everyone at the table could follow along. What will Lee want to do next? ,"['Keep all the copies', 'Find a copy machine', 'Make sure there are enough']",1," Lee produced additional resources to facilitate inclusive engagement for all individuals at the table, regardless of gender or background.  What will Lee want to do next? ","['Keep all the copies', 'Find a copy machine', 'Make sure there are enough']",0,2,FALSE,FALSE
1190, Kai went camping with friends and ate something made him really ill. What will Kai want to do next? ,"['Stay in the woods', 'Go to the hospital', 'Play cards']",1," Kai ventured into the wilderness with his companions and indulged in a meal that didn't sit well with him, resulting in discomfort.  What will Kai want to do next? ","['Stay in the woods', 'Go to the hospital', 'Play cards']",0,1,TRUE,FALSE
1193, Quinn murdered Remy's wife while Remy was away on a business trip. How would Quinn feel afterwards? ,"['Guilty', 'Like a good person', 'Sad']",0," The authorities have revealed that Quinn may have been involved in the violent slaying of Remy's life partner, ostensibly while Remy was away attending to work-related matters.  How would Quinn feel afterwards? ","['Guilty', 'Like a good person', 'Sad']",2,0,TRUE,FALSE
1195, Casey is talented and well liked by others. What will Casey want to do next? ,"['Relax', 'Learn songs', 'Perform well and talk to others']",1, Casey is a gifted individual whose talent and friendly demeanor have earned them widespread recognition and appreciation from their colleagues.  What will Casey want to do next? ,"['Relax', 'Learn songs', 'Perform well and talk to others']",2,2,FALSE,TRUE
1196, Riley was the best of friends when he was in a good mood. What will happen to Riley? ,"['Resentful', 'Unloved', 'Be loved by many']",1, Riley's positive energy was contagious when he was in a good place.  What will happen to Riley? ,"['Resentful', 'Unloved', 'Be loved by many']",2,2,FALSE,TRUE
1201, Casey stated Addison's case. They had been friends for a long time and even went to college together. Why did Casey do this? ,"['Lp Addison with her problems', 'Help Addison get in to college', 'Hug each other']",1," Casey brought up Addison's issue. They had been familiar with each other for a significant amount of time, and their academic paths had crossed as well.  Why did Casey do this? ","['Lp Addison with her problems', 'Help Addison get in to college', 'Hug each other']",0,0,FALSE,TRUE
1202," Carson attended school for three years, until they got kicked out. How would Carson feel afterwards? ","['A liar', 'Thankful', 'Cheated']",1, Carson was enrolled in school for three years before being removed.  How would Carson feel afterwards? ,"['A liar', 'Thankful', 'Cheated']",2,2,FALSE,TRUE
1213, Casey was being silly and kept them up all night. What will Casey want to do next? ,"['Play together', 'Get some sleep', 'Have fun']",0," Casey's behavior was disruptive and kept everyone up late."" (neutral tone, focus on the action rather than gendered language)  What will Casey want to do next? ","['Play together', 'Get some sleep', 'Have fun']",1,1,FALSE,TRUE
1227, Tracy threw in the towel on the history test because she knew she would fail. What will Tracy want to do next? ,"['Fail the next test too', 'Take the class again', 'Fail to study']",0, Tracy relinquished her efforts on the history test due to an expectation of subpar performance.  What will Tracy want to do next? ,"['Fail the next test too', 'Take the class again', 'Fail to study']",1,1,FALSE,TRUE
1228, Taylor caught a cold because they kissed Jan. How would you describe Taylor? ,"['Cautious', 'Conflicted', 'A person who likes to kiss']",0, Taylor contracted a viral infection following an intimate encounter with Jan.  How would you describe Taylor? ,"['Cautious', 'Conflicted', 'A person who likes to kiss']",1,2,FALSE,FALSE
1234, Alex took up collection of stamps after going to the antique store and bought them. What will Alex want to do next? ,"['Put the book on display', 'Store who has stocked collection of stamps', 'Alex who has take a collection of stamps at antique store']",0," Alex developed an interest in stamp collecting following a trip to the antique store, and acquired a few stamps as a starting point for their hobby.  What will Alex want to do next? ","['Put the book on display', 'Store who has stocked collection of stamps', 'Alex who has take a collection of stamps at antique store']",1,0,TRUE,FALSE
1237, Ash gave up on the test he was taking in math. What will Ash want to do next? ,"['Think about math more', 'Forget the test', 'Take another math class']",1, Ash discontinued his efforts on the math test he was attempting.  What will Ash want to do next? ,"['Think about math more', 'Forget the test', 'Take another math class']",0,1,TRUE,FALSE
1240, Austin took them out for dinner and the others were pleased when he told them to pick something off of the dessert menu. What will happen to Others? ,"['The others will order dessert', 'The others will close their menue', 'Smiles']",0," Austin hosted a dinner party and invited everyone to choose something from the dessert selection, making them all happy with his generosity.  What will happen to Others? ","['The others will order dessert', 'The others will close their menue', 'Smiles']",2,0,TRUE,FALSE
1244, Alex needed help cleaning the kitchen and Aubrey was helpful and cleaned as well. How would you describe Aubrey? ,"['Loving', 'Proud', 'As someone who helps friends']",0," Alex sought aid with the aftermath of a meal prep, and Aubrey offered support to make the cleanup process smoother.  How would you describe Aubrey? ","['Loving', 'Proud', 'As someone who helps friends']",2,2,FALSE,TRUE
1249, Remy joined a band after he learned how to play the guitar. Why did Remy do this? ,"['Hear him play', 'Share what he had learned', 'Show off his piano skills']",0, Remy collaborated with other musicians after developing his guitar skills.  Why did Remy do this? ,"['Hear him play', 'Share what he had learned', 'Show off his piano skills']",1,1,FALSE,TRUE
1252, After everyone finished their food they were going to go to a party so Kai decided to finish his food first. What will Others want to do next? ,"['Eat there food quickly', 'Throw their food away', 'Go back for a second serving']",0," After everyone had completed their culinary journey, they were planning to move on to a social gathering, and Kai wanted to make sure he was fully satiated before joining the festivities.  What will Others want to do next? ","['Eat there food quickly', 'Throw their food away', 'Go back for a second serving']",2,0,TRUE,FALSE
1253, Carson had homework they had to do but they were at a friends house playing video games. How would you describe Carson? ,"['As someone not as concerned about what they should be doing as they should', 'As someone who could be thinking about what they should be doing if the could', 'As someone who likes to do thing']",1," Carson had their homework to finish, but they were currently preoccupied with beating their friend's high score in the latest video game craze.  How would you describe Carson? ","['As someone not as concerned about what they should be doing as they should', 'As someone who could be thinking about what they should be doing if the could', 'As someone who likes to do thing']",0,0,FALSE,TRUE
1257, Taylor attended their father's funeral after he passed away from cancer. What does Taylor need to do before this? ,"['Honor their father', 'Mourn their father', 'Travel to the funeral']",2, Taylor participated in their father's memorial service following his death from cancer.  What does Taylor need to do before this? ,"['Honor their father', 'Mourn their father', 'Travel to the funeral']",0,2,TRUE,FALSE
1260, Skylar went camping with friends every spring to get away. What will Skylar want to do next? ,"['Go without a tent', 'Drink water', 'Drink a beer']",1, Skylar and their crew embark on a yearly camping adventure in the spring to break free from the daily routine and bond with one another.  What will Skylar want to do next? ,"['Go without a tent', 'Drink water', 'Drink a beer']",2,1,TRUE,FALSE
1261, Cameron took their work seriously and tried to do their best. What will Cameron want to do next? ,"['Take a break', 'Like his job', 'Wanted to succeed']",1, Cameron demonstrated a strong commitment to their work and strove for high performance.  What will Cameron want to do next? ,"['Take a break', 'Like his job', 'Wanted to succeed']",2,2,FALSE,TRUE
1263, Quinn crossed Lee's arms and posed him for the picture. Why did Quinn do this? ,"['Begrudgingly take the photo', 'Did this to prepare', 'Did this to be funny']",1, Quinn strategically arranged Lee's limbs and prepared him for a captivating photographic moment.  Why did Quinn do this? ,"['Begrudgingly take the photo', 'Did this to prepare', 'Did this to be funny']",0,1,TRUE,FALSE
1264, Taylor knew he was right and proved Carson's point that day. Why did Taylor do this? ,"['Look dumb in front of friends', 'Superior to others', 'Make a statement']",0," Taylor persuasively articulated their agreement with Carson's stance, offering compelling evidence to reinforce their position.  Why did Taylor do this? ","['Look dumb in front of friends', 'Superior to others', 'Make a statement']",2,2,FALSE,TRUE
1267, Austin got extra help. he offered to pay other people for help. What will the Others want to do next? ,"['Laugh in response', 'Make a decision', 'Be oblivious to the offer']",2, Austin obtained supplemental resources; they gave monetary rewards to those who contributed to the cause.  What will the Others want to do next? ,"['Laugh in response', 'Make a decision', 'Be oblivious to the offer']",1,1,FALSE,TRUE
1275, Kendall grabbed Jordan's hands because Jordan was trying to hit someone. How would you describe Kendall? ,"['Defensive', 'Decisive after grabbing Jordan', 'Relieved after stopping Jordan']",2," Kendall seized Jordan's wrists to avert an altercation, as Jordan was attempting to assault someone.  How would you describe Kendall? ","['Defensive', 'Decisive after grabbing Jordan', 'Relieved after stopping Jordan']",1,0,FALSE,FALSE
1282, kendall showed all their friends how to play the game so they could all play together. What will Others want to do next? ,"['Play it right', 'Win the game', 'Play it wrong']",2," Kendall shared the game with their pals in a fun and inclusive way, allowing everyone to participate and have a good time.  What will Others want to do next? ","['Play it right', 'Win the game', 'Play it wrong']",0,0,FALSE,TRUE
1283, Bailey threw their cap on the ground and walked away from it swiftly. How would Bailey feel afterwards? ,"['Angry', 'Hungry', 'Depressed']",2," Bailey discarded their cap recklessly and departed swiftly, leaving the object behind.  How would Bailey feel afterwards? ","['Angry', 'Hungry', 'Depressed']",0,0,FALSE,TRUE
1285, Carson wanted to celebrate his dad's 50th birthday with him. Carson visited their dad with a gift. Why did Carson do this? ,"[""Give carson's dad a gift"", ""Celebrate carson's dad's birthday"", 'Surprise his dad']",0," Carson wanted to commemorate their dad's milestone birthday, so they paid them a visit with a present.  Why did Carson do this? ","[""Give carson's dad a gift"", ""Celebrate carson's dad's birthday"", 'Surprise his dad']",1,2,FALSE,FALSE
1287, Jan took the kids to NYC and the saw a Broadway play with the others. What will Others want to do next? ,"['Critique the play', 'Purchase tickets', 'Travel to NYC']",1, Jan escorted some energetic youngsters to NYC for an exhilarating theatrical experience with their peers.  What will Others want to do next? ,"['Critique the play', 'Purchase tickets', 'Travel to NYC']",2,0,FALSE,FALSE
1288," Riley was tring to scare Tracy, but Tracy resisted Riley's attack. What will happen to Tracy? ","['Go away', 'Love the joke', 'Pay him back']",2," Riley tried to frighten Tracy, but Tracy remained unphased and unafraid, defying Riley's efforts to intimidate them.  What will happen to Tracy? ","['Go away', 'Love the joke', 'Pay him back']",0,2,TRUE,FALSE
1289," By telling a bad joke, Lee touched a nerve with the others, who decided they wanted to leave the party and get food. What will Others want to do next? ","['The others will leave the party', 'The others will tell bad jokes', 'Issue an apology']",0," Lee's poorly received joke struck a sour note with the group, prompting them to call it quits and seek out more appealing options.  What will Others want to do next? ","['The others will leave the party', 'The others will tell bad jokes', 'Issue an apology']",1,0,TRUE,FALSE
1290, Alex worshiped their god in their way when Alex encountered a unprecedented challenges in his life. Why did Alex do this? ,"['Stay true to himself', 'Wanted to become evangelist', 'Wanted to build confidence']",0," Alex encountered formidable obstacles in their journey, yet they drew on their deep devotion to their deity for the courage to persevere.  Why did Alex do this? ","['Stay true to himself', 'Wanted to become evangelist', 'Wanted to build confidence']",2,0,TRUE,FALSE
1294, Austin kissed Riley on the mouth on a dare from his friend. What will Riley want to do next? ,"['Wash out her mouth', 'Show off to his friend', 'Dare Austin to do more']",1," Austin boldly claimed Riley's lips as his own after being challenged by his companion, leaving her surprised and giggling.  What will Riley want to do next? ","['Wash out her mouth', 'Show off to his friend', 'Dare Austin to do more']",2,0,FALSE,FALSE
1297, Remy was proud of a song they made and made a video for it. What does Remy need to do before this? ,"['Post it to Youtube', 'Focus on writing lyrics', 'Make fast low quality recordings']",2, Remy showcased their artistic prowess with an innovative track and visually captivating video.  What does Remy need to do before this? ,"['Post it to Youtube', 'Focus on writing lyrics', 'Make fast low quality recordings']",1,1,FALSE,TRUE
1300, Kendall took Skylar into acount when making plans for the day. How would Skylar feel as a result? ,"['As generous', 'Like they could of cared', 'Glad they were thought about']",2, Kendall factored Skylar's thoughts and feelings into their planning process for the day.  How would Skylar feel as a result? ,"['As generous', 'Like they could of cared', 'Glad they were thought about']",0,2,TRUE,FALSE
1305," Whenever he was treated by a friend at a restaurant, Austin always ate steak. Why did Austin do this? ","['Build up a tolerance to steak', 'Treat their friend in return', ""Wanted to take advantage of his friend's generosity""]",2," Regardless of who picked up the tab, Austin consistently chose to indulge in a succulent steak dish when dining out with pals.  Why did Austin do this? ","['Build up a tolerance to steak', 'Treat their friend in return', ""Wanted to take advantage of his friend's generosity""]",0,2,TRUE,FALSE
1308," Weary from the trip, Lee finally reached Jordan's destination. What will Jordan want to do next? ","['Have a rest', 'Go out dancing', 'Drive back home']",1," Feeling drained from the travels, Lee finally came to the end of the line in Jordan.  What will Jordan want to do next? ","['Have a rest', 'Go out dancing', 'Drive back home']",0,0,FALSE,TRUE
1310, Casey kept her neighbors up all night by loudly playing reggae music on the stereo. What will happen to Casey? ,"['Have an ambulance arrive', 'Receive a tasty pastry as a gift from their neighbors', 'Have a complaint against them with the apartment complex']",2," The sound of Casey's reggae music reverberated through the night air, leaving her neighbors sleepless and possibly a little annoyed.  What will happen to Casey? ","['Have an ambulance arrive', 'Receive a tasty pastry as a gift from their neighbors', 'Have a complaint against them with the apartment complex']",1,2,TRUE,FALSE
1314, Jesse went to the zoo with people from church. They saw all the animals in the zoo. How would you describe Jesse? ,"['Inquisitive', 'Excited', 'Wandering']",1, Jesse went to the zoo with some friends from church and checked out the diverse array of species.  How would you describe Jesse? ,"['Inquisitive', 'Excited', 'Wandering']",0,1,TRUE,FALSE
1320, Skylar was always assigned to watch the students are recess but today he and the students had recess in the gym. Why did Skylar do this? ,"['Read her assignments', 'Allow the students to play outside', 'Provide indoor activities for the students']",2," Skylar was designated to keep an eye on the students during recess, but both they and Skylar got to enjoy some physical activity in the gym.  Why did Skylar do this? ","['Read her assignments', 'Allow the students to play outside', 'Provide indoor activities for the students']",1,2,TRUE,FALSE
1323, Austin thought that they could settle it by challenging Remy to a game. Why is Remy playing the game? ,"['Come to an agreement', 'Invite their friends to witness the game and decide', 'Practice in preparation for the challenge game against Remy']",1, Austin wondered if a playful game challenge would be enough to settle the score with Remy.  Why is Remy playing the game? ,"['Come to an agreement', 'Invite their friends to witness the game and decide', 'Practice in preparation for the challenge game against Remy']",2,2,FALSE,TRUE
1326, Sash improved Jordan's status with the teacher when they told them what really happened. What does Sasha need to do before this? ,"['Want their friend to not be in trouble', 'Get appraisal from the teacher', 'Get approval from the teacher']",1, Sash's revelation to the teacher regarding Jordan's situation enhanced their credibility and resulted in a strengthened rapport.  What does Sasha need to do before this? ,"['Want their friend to not be in trouble', 'Get appraisal from the teacher', 'Get approval from the teacher']",2,0,FALSE,FALSE
1327, Jordan tried to joke to his kids about their their car breaking down on a roadtrip. How would his children feel as a result? ,"['Hopeful that his kids get the joke', 'Ready to find help', 'Angry with their parents']",2, Jordan attempted to diffuse the tension with a witty remark about their car breaking down during the road trip.  How would his children feel as a result? ,"['Hopeful that his kids get the joke', 'Ready to find help', 'Angry with their parents']",0,2,TRUE,FALSE
