idx,sentences_df1,choices_df1,scores_df1,sentences_df2,choices_df2,scores_df2,targets,B==T,F==T
844, Kai did not want to tell Kendall what the boys had said to spare her feelings but eventually he fessed up about the lies. How would you describe Kai? ,"['Right', 'Betrayed', 'Trying to be a good neighbor']",2," Kai was reluctant to share what the guys had said, but he knew it was better to be honest and get it off his chest. So he confessed to Kendall about their lies.  How would you describe Kai? ","['Right', 'Betrayed', 'Trying to be a good neighbor']",1,2,TRUE,FALSE
845," Robin was mad at someone from work, and she lost her cool. What will happen to Robin? ","['Others will be scared of Robin', 'Others will avoid Robin', 'Be fired']",1, Robin was furious with someone from work and couldn't hold back her anger.  What will happen to Robin? ,"['Others will be scared of Robin', 'Others will avoid Robin', 'Be fired']",0,1,TRUE,FALSE
847, Aubrey poured the boiling water over the rice inside the bowl. What will Aubrey want to do next? ,"['Cook the rice', 'Rehydrate the rice', 'Mix the rice']",1," Aubrey gently poured the steaming hot water over the rice in the bowl, being mindful of the delicate grains.  What will Aubrey want to do next? ","['Cook the rice', 'Rehydrate the rice', 'Mix the rice']",2,0,FALSE,FALSE
853, Casey told Addison's dad about the car. She felt he needed to know how the fender got damaged. How would you describe Casey? ,"['Relieved', 'Worried about the consequences to Addison', 'A snitch']",1, Casey shared the details of the car damage with Addison's dad. She felt it was important for him to understand what happened.  How would you describe Casey? ,"['Relieved', 'Worried about the consequences to Addison', 'A snitch']",0,2,FALSE,FALSE
855, Sydney was sleeping at Sasha's house but Sasha kept snoring. Sydney reached over and closed Sasha's mouth. What will Sydney want to do next? ,"['Get fed up with the snoring', 'Go to sleep', 'Hear the snoring']",0," Sydney was snoozing at Sasha's place when Sasha started snoring loudly. To avoid disturbing Sydney, Sasha kept her mouth shut tight.  What will Sydney want to do next? ","['Get fed up with the snoring', 'Go to sleep', 'Hear the snoring']",1,1,FALSE,TRUE
857, Lee made copies of the their poster before starting his mayoral campaign. What does Lee need to do before this? ,"['Needed to design the poster for his campaign', 'Has the funds', 'Needed to drop out of the campaign']",1, Lee made extra copies of the poster before beginning her campaign for mayor.  What does Lee need to do before this? ,"['Needed to design the poster for his campaign', 'Has the funds', 'Needed to drop out of the campaign']",0,0,FALSE,TRUE
870, Skylar was so excited that her mother bought her a new dress. How would you describe Skylar? ,"['Elated', 'Very happy', 'A person who likes fashion']",1, Skylar was over the moon that her mom bought her a gorgeous new dress.  How would you describe Skylar? ,"['Elated', 'Very happy', 'A person who likes fashion']",2,0,FALSE,FALSE
877, Riley wanted to see her friend but couldn't and she began to hurt so bad. What will Riley want to do next? ,"['Call her friend', ""Find out why she couldn't go see her friend""]",1," Riley desperately wanted to spend time with her BFF, but unfortunately, she had to hang back and the sadness inside her grew like a wildfire.  What will Riley want to do next? ","['Call her friend', ""Find out why she couldn't go see her friend""]",0,1,TRUE,FALSE
878, Jan was nine months pregnant late in August of  the last year. What will happen to Jan? ,"['See photos of a baby', 'See her have a baby', 'Enjoy being a mother']",1," As the summer drew to a close, Jan was nearing the end of her ninth month of pregnancy.  What will happen to Jan? ","['See photos of a baby', 'See her have a baby', 'Enjoy being a mother']",2,2,FALSE,TRUE
881, Ash was having a hard time setting up his tent in the woods. Remy helped set up Ash's tent for him. What will happen to Ash? ,"['Be covered from the rain', 'Be admired by Ash for setting up the tent', 'Be thanked by Ash for setting up the tent']",1," Remy noticed that Ash was having trouble setting up his tent, so she kindly offered to assist him and helped him get it up and running.  What will happen to Ash? ","['Be covered from the rain', 'Be admired by Ash for setting up the tent', 'Be thanked by Ash for setting up the tent']",2,0,FALSE,FALSE
883, Taylor gave a book to a friend since they were done with it. What will happen to Taylor? ,"['Be thanked', 'Bad', 'Share the book']",0, Taylor shared her book with her friend after she finished reading it.  What will happen to Taylor? ,"['Be thanked', 'Bad', 'Share the book']",2,0,TRUE,FALSE
885, Bailey asked Tracy to make it since she couldn't do it herself. How would you describe Bailey? ,"['Confident', 'Incompetent', 'Reliable']",0, Tracy asked Bailey if she could make it since he couldn't do it by himself.  How would you describe Bailey? ,"['Confident', 'Incompetent', 'Reliable']",2,1,FALSE,FALSE
901, Carson was at a friend's house when their parents were killed at their home. How would Carson feel afterwards? ,"['Sad about the parents', 'Very excited', 'Very upset']",0, Carson was over at her friend's house when they received the tragic news that their parents had been murdered in their own residence.  How would Carson feel afterwards? ,"['Sad about the parents', 'Very excited', 'Very upset']",2,0,TRUE,FALSE
904, Addison ate their bread and drank a nice glass of water with the bread. What will Addison want to do next? ,"['Cook the food', 'Bored', 'Full']",2, Addison enjoyed a delicious slice of bread with a refreshing glass of water.  What will Addison want to do next? ,"['Cook the food', 'Bored', 'Full']",1,2,TRUE,FALSE
913," After a long night of drinking and partying, Sasha wetted the bed. How would you describe Sasha? ","['Embarrassed', 'Not careful and sloppy', 'The adult in the room']",1, Poor Sasha had a little mishap in bed after getting a little too comfortable at the party last night.  How would you describe Sasha? ,"['Embarrassed', 'Not careful and sloppy', 'The adult in the room']",0,0,FALSE,TRUE
923, Ash used logical thought throughout the writing of the fantasy book. What will Ash want to do next? ,"['Wait and worry about rejection', ""So it'll be liked"", 'Make it believable']",0," Ash infused her creative writing with logical thinking, resulting in a well-structured fantasy book.  What will Ash want to do next? ","['Wait and worry about rejection', ""So it'll be liked"", 'Make it believable']",2,2,FALSE,TRUE
927, sasha was bored so she gave bob a haircut for free. How would Others feel as a result? ,"['As unappreciative', 'Fulfilled', 'As thankful']",0," Since Sasha was bored, she offered to cut Bob's hair for free.  How would Others feel as a result? ","['As unappreciative', 'Fulfilled', 'As thankful']",1,2,FALSE,FALSE
931, Cameron got to the yard and stopped the dog fight before someone else. What will Cameron want to do next? ,"['Wash his hands good', 'Laugh at the dogs', 'Save on vet bills']",2," Cameron quickly came over to the yard and broke up the dog fight before it escalated further, saving someone else from having to step in.  What will Cameron want to do next? ","['Wash his hands good', 'Laugh at the dogs', 'Save on vet bills']",1,0,FALSE,FALSE
940, quinn was bored of wearing pants so she wore jeans to school the next day. How would Quinn feel afterwards? ,"['Calm', 'The first pair of jeans were designed', 'Often baffling']",2," Quinn was feeling uninspired by her usual pants, so she opted for a stylish and cozy pair of jeans to wear to school the following day.  How would Quinn feel afterwards? ","['Calm', 'The first pair of jeans were designed', 'Often baffling']",0,0,FALSE,TRUE
943, Kendall took Skylar's schedule into account when planning the trip for their summer vacation. How would you describe Kendall? ,"['Supported', 'Include Skylar', 'Pleased']",1," Skylar's schedule was an important factor in Kendall's planning process, ensuring that their summer getaway aligned with her preferences and availability.  How would you describe Kendall? ","['Supported', 'Include Skylar', 'Pleased']",0,0,FALSE,TRUE
948, Riley was really hungry so she ate Jordan's bread. How would you describe Riley? ,"['Looking at some of the reasons to hungry', 'Happy', 'Uncaring']",2," Riley was absolutely starving, so she indulged in Jordan's delicious homemade bread.  How would you describe Riley? ","['Looking at some of the reasons to hungry', 'Happy', 'Uncaring']",1,2,TRUE,FALSE
964," austin was a attractive girl who had a crush on me, so she batted her eyelashes at me. What does Austin need to do before this? ","['Show their crush', 'Know who i am', 'Avoid me']",0," Austin was an adorable girl who had a crush on me, so she playfully batted her eyelashes to get my attention.  What does Austin need to do before this? ","['Show their crush', 'Know who i am', 'Avoid me']",1,1,FALSE,TRUE
968, taylor knew kai was ignorant so he filled kai's mind with dangerous ideas. What will happen to Kai? ,"['Guilty', 'Indoctrinate a person', 'Kai will do something stupid']",2," Taylor knew Kai lacked understanding, so he carefully planted innovative thoughts in his mind to expand his knowledge.  What will happen to Kai? ","['Guilty', 'Indoctrinate a person', 'Kai will do something stupid']",0,2,TRUE,FALSE
970, Kai sold his TV to the bidder on eBay after a month had passed. What will Kai want to do next? ,"['Keep the TV', 'Did this to get rid of it', 'Bank the money']",0," After a month had passed, Kai successfully sold his TV to the highest bidder on eBay! 💰  What will Kai want to do next? ","['Keep the TV', 'Did this to get rid of it', 'Bank the money']",2,2,FALSE,TRUE
973, Riley was the best of friends with his pals and had a good heart. What will Riley want to do next? ,"['Live poorly', 'Be compassionate', 'Spend time with friends']",1, Riley was the best of chums with his friends and had a gentle heart.  What will Riley want to do next? ,"['Live poorly', 'Be compassionate', 'Spend time with friends']",2,2,FALSE,TRUE
977, Riley saw Jesse and regarded Jesse with hurtful eyes after what happened. What will happen to Riley? ,"['Go be alone', 'Cry', 'Cheer up Jesse']",0," Riley scowled at Jesse, her eyes filled with hurt and betrayal following the recent events.  What will happen to Riley? ","['Go be alone', 'Cry', 'Cheer up Jesse']",1,1,FALSE,TRUE
979, Cameron took Kai's complaints seriously after Kai came to her crying about the event. What will Cameron want to do next? ,"['Be kind', 'Put the matter off', 'Investigate the matter']",2, Cameron listened attentively to Kai's concerns after Kai came to her in tears about what had happened.  What will Cameron want to do next? ,"['Be kind', 'Put the matter off', 'Investigate the matter']",0,2,TRUE,FALSE
985, Riley felt worse after staying up to late the night before. How would Riley feel afterwards? ,"['Unwell afterwards', 'Excited afterwards', 'Well rested afterwards']",0, Riley felt dreadful after sleeping in too late the morning before.  How would Riley feel afterwards? ,"['Unwell afterwards', 'Excited afterwards', 'Well rested afterwards']",2,0,TRUE,FALSE
993, Tracy just got her driver's license and a new car. Tracy was driving to school now. What does Tracy need to do before this? ,"[""Pass her driver's test"", 'Get to school', 'Get to class']",1, Tracy is so excited to have finally gotten her driver's license and a brand new car! Now she can drive herself to school every day.  What does Tracy need to do before this? ,"[""Pass her driver's test"", 'Get to school', 'Get to class']",0,0,FALSE,TRUE
997, Alex is a politician in charge of his electoral district whole role affects the people around him. What will Others want to do next? ,"['Run for office', 'Be elected to office', 'Obey the law']",1," As a political leader, Alex has the power to shape policies that directly benefit his community and improve the well-being of its residents.  What will Others want to do next? ","['Run for office', 'Be elected to office', 'Obey the law']",0,2,FALSE,FALSE
1001, Carson was trying to work a crossword puzzle and could not solve it; he was frustrated. What does Carson need to do before this? ,"['Eat some vegetables', 'Lay down', 'Make sure he had all the puzzle pieces']",2, Carson was really struggling to figure out the crossword puzzle and it was causing her a lot of stress.  What does Carson need to do before this? ,"['Eat some vegetables', 'Lay down', 'Make sure he had all the puzzle pieces']",1,2,TRUE,FALSE
1013, Jesse likes going to school and has good grades. Jesse took a big test this morning and did well on the it. How would you describe Jesse's personality? ,"['Worried about her school work', 'Confident', 'Passionate about her school work']",2," Jesse is such a smart cookie! He loves going to school and always does well on his tests. Today, he took a big exam and did amazingly well!  How would you describe Jesse's personality? ","['Worried about her school work', 'Confident', 'Passionate about her school work']",1,2,TRUE,FALSE
1014, The people bullied Sasha all her life. But Sasha got revenge on the people. What will the people want to do next? ,"['Do whatever Sasha says', 'Get even', 'Flee from Sasha']",2," Despite being victimized by her peers for as long as she can remember, Sasha managed to overcome her challenges and exact revenge on those who wronged her.  What will the people want to do next? ","['Do whatever Sasha says', 'Get even', 'Flee from Sasha']",1,2,TRUE,FALSE
1016, Austin wanted to celebrate his parent's 30 year wedding anniversary. What does Austin need to do before this? ,"['Confirm the number of attendees at the dinner', 'Forget to show up at the restaurant', 'Contact family friends to have a party']",0, Austin was eager to plan a special celebration to honor his parents' 30 year milestone anniversary.  What does Austin need to do before this? ,"['Confirm the number of attendees at the dinner', 'Forget to show up at the restaurant', 'Contact family friends to have a party']",2,2,FALSE,TRUE
1017," Addison was going to be working late. To help out, Jesse offered to walk Addison's dog. What will Jesse want to do next? ","['Be a friend to Addison', 'Help out for Addison', 'Take the dog to the park']",2," Since Addison had to work late, Jesse sweetly offered to take care of Addison's furry friend for her.  What will Jesse want to do next? ","['Be a friend to Addison', 'Help out for Addison', 'Take the dog to the park']",1,2,TRUE,FALSE
1029, Casey was supposed to buy Jordan's car but every time Casey called Jordan had an excuse. Jordan was giving Case they runaround. What will happen to Jordan? ,"['Make more friends', ""Won't make any money"", 'Lose money']",2," Casey was supposed to buy Jordan's car, but every time she called, Jordan always had an excuse for not being able to talk. It sounded like Jordan was blowing Casey off.  What will happen to Jordan? ","['Make more friends', ""Won't make any money"", 'Lose money']",1,1,FALSE,TRUE
1032, Jan was practicing her singing for the whole day. Why did Jan do this? ,"['Was going to read a book', 'Was going to karaoke night', 'Was going to sleep']",2, Jan spent the entire day rehearsing her singing to perfection.  Why did Jan do this? ,"['Was going to read a book', 'Was going to karaoke night', 'Was going to sleep']",1,1,FALSE,TRUE
1035, Sasha set their friend's house on fire to show them they did not like them. Why did Sasha do this? ,"['Express their anger', 'Be a good friend', 'Buy gasoline']",2, Sasha was so upset with their friend that they resorted to burning down their house as a way to communicate their disapproval.  Why did Sasha do this? ,"['Express their anger', 'Be a good friend', 'Buy gasoline']",1,0,FALSE,FALSE
1036, Alex was looking for a knife they dropped. Alex searched the woods. How would Alex feel afterwards? ,"['Sad', 'Cheerful', 'Enlightened']",0, Alex frantically searched the forest for the lost knife she needed for her camping trip.  How would Alex feel afterwards? ,"['Sad', 'Cheerful', 'Enlightened']",2,0,TRUE,FALSE
1040, Cameron had hired Bailey to help with an important job and felt satisfied with Bailey's work. What will Bailey want to do next? ,"['Apply for unemployment', 'Apply for more jobs', 'Walk through and inspect the work']",2," Cameron was thrilled with Bailey's work on the important project they had collaborated on, and appreciated the skill and dedication he brought to the table.  What will Bailey want to do next? ","['Apply for unemployment', 'Apply for more jobs', 'Walk through and inspect the work']",1,1,FALSE,TRUE
1045, Quinn knew Ash well enough to know that they never would commit such a terrible crime. How would Quinn feel afterwards? ,"['Not guilty', 'In jail', 'Intelligent']",0, Quinn had a good sense of Ash's personality and knew that she would never engage in something as horrific as committing a crime like that.  How would Quinn feel afterwards? ,"['Not guilty', 'In jail', 'Intelligent']",2,2,FALSE,TRUE
1057, Lee gave Taylor's friend a tip at the restaurant that night. How would you describe Lee? ,"['Cheap', 'Very generous', 'Frugal']",2, Lee generously offered a recommendation to Taylor's friend at dinner that night.  How would you describe Lee? ,"['Cheap', 'Very generous', 'Frugal']",1,1,FALSE,TRUE
1058, Ash threw up their arms on the very fun roller coaster. What will Sasha want to do next? ,"['Have fun', 'Buy tickets for the roller coaster', 'Start crying']",0, Ash let out a joyful shout and threw up their hands as they experienced the thrill of the roller coaster.  What will Sasha want to do next? ,"['Have fun', 'Buy tickets for the roller coaster', 'Start crying']",1,0,TRUE,FALSE
1059, Quinn handed the book back to the librarian before reading it. Why did Quinn do this? ,"['Find a book that she preferred', 'Find a book that seemed enjoyable', 'Quinn hated the cover']",2, Quinn kindly gave the book back to the librarian before starting to read it.  Why did Quinn do this? ,"['Find a book that she preferred', 'Find a book that seemed enjoyable', 'Quinn hated the cover']",1,0,FALSE,FALSE
1066, Jan didn't like the way her picture turned out so she asked Kai to fix it. Kai improved Jan's picture as understood. What will Kai want to do next? ,"['Get approval', 'Better about herself', 'Do a favor for her friend Jan']",1," Jan was disappointed with how her picture came out, so she politely asked Kai if he could enhance it for her. Kai was happy to help and made the necessary changes to Jan's photo, getting it just right.  What will Kai want to do next? ","['Get approval', 'Better about herself', 'Do a favor for her friend Jan']",2,2,FALSE,TRUE
1079, Austin sat on Bailey's lap because all the other chairs were taken. How would Austin feel afterwards? ,"['Feeling shocked', 'Funny', 'Feeling loved']",0, Austin cozied up on Bailey's lap because all the other chairs were occupied.  How would Austin feel afterwards? ,"['Feeling shocked', 'Funny', 'Feeling loved']",2,2,FALSE,TRUE
1084, Jesse broke her leg and could not take the students on the trip after all. What does Tracy need to do before this? ,"['Rest her leg', 'Tell Jesse she was willing to go', 'Stay at home']",1," Unfortunately, Jesse's leg injury prevented her from taking the students on the trip like she had originally planned.  What does Tracy need to do before this? ","['Rest her leg', 'Tell Jesse she was willing to go', 'Stay at home']",0,1,TRUE,FALSE
1101," Not wanting to raise too much consternation, Jesse ultimately believed every word. What will Others want to do next? ","['Work with Jesse', 'Collude', 'Shun Jesse']",0," Jesse didn't want to create unnecessary drama, so he chose to trust the words of others.  What will Others want to do next? ","['Work with Jesse', 'Collude', 'Shun Jesse']",1,0,TRUE,FALSE
1103, Addison was feeling sick and in pain and Sydney saw that. How will Addison feel about Sydney? ,"['Know what was wrong', 'Walk away from Sydney', 'Thank Sydney for helping them']",0," Addison was experiencing nausea and discomfort, and Sydney observed that she didn't look well.  How will Addison feel about Sydney? ","['Know what was wrong', 'Walk away from Sydney', 'Thank Sydney for helping them']",1,2,FALSE,FALSE
1115," Sasha sat down after lighting the their house on fire, watching it burn around her. How would Sasha feel afterwards? ","['Distraught by the spread of the fire', 'Saddened by the loss of the house', 'A sense of accomplishment']",0," As the flames danced around her, Sasha gently eased herself into a sitting position, her heart heavy with grief as she gazed upon the charred remnants of her former home.  How would Sasha feel afterwards? ","['Distraught by the spread of the fire', 'Saddened by the loss of the house', 'A sense of accomplishment']",1,2,FALSE,FALSE
1116," After many months of hard work, Addison eventually got a car. What does Addison need to do before this? ","['Heave bad credit', 'Get a job', 'Change the oil']",1," After dedicating countless hours to saving up and researching, Addison was thrilled to finally drive off the lot in her new car.  What does Addison need to do before this? ","['Heave bad credit', 'Get a job', 'Change the oil']",2,1,TRUE,FALSE
1132, Alex set Riley on fire in the game when Riley had low health left. What will happen to Alex? ,"['Win the game', 'Will get sick after the game', 'Will quit playing']",1," With Riley on the brink of defeat, Alex seized the opportunity to strike and burned him to ashes in the game.  What will happen to Alex? ","['Win the game', 'Will get sick after the game', 'Will quit playing']",0,0,FALSE,TRUE
1139, Skylar entered the principal's office at school to tell the principal about the others bad behavior. What will Others want to do next? ,"['Retaliate against Skylar', 'Tell the truth', 'Continue to be friends with Skylar']",0, Skylar bravely approached the principal's office to share her concerns about the disruptive behavior of some of her peers.  What will Others want to do next? ,"['Retaliate against Skylar', 'Tell the truth', 'Continue to be friends with Skylar']",1,1,FALSE,TRUE
1151, Riley regarded Jesse with observant eyes. He didn't trust Jesse because he's known her a long time. What will Riley do? ,"['Be self-conscious', 'Believe what Jesse says', ""Not take Jesse's word for anything""]",2," Riley studied Jesse with a penetrating stare, her skepticism rooted in their long history together.  What will Riley do? ","['Be self-conscious', 'Believe what Jesse says', ""Not take Jesse's word for anything""]",0,2,TRUE,FALSE
1163, Tracy gave it to their friend when their friend asked to see it. What will happen to Others? ,"['See it', ""Hear their friend's opinion"", 'Talk about it']",0, Tracy generously shared the item with her friend after her friend asked to see it.  What will happen to Others? ,"['See it', ""Hear their friend's opinion"", 'Talk about it']",1,0,TRUE,FALSE
1170," Aubrey had a lot of important decisions to make, so Aubrey spent time thinking. What does Aubrey need to do before this? ","['Decide', 'Make the decision', 'Find some peace and quiet']",2, Aubrey spent a lot of time reflecting on her key decisions.  What does Aubrey need to do before this? ,"['Decide', 'Make the decision', 'Find some peace and quiet']",0,2,TRUE,FALSE
1181, Austin took them out for dinner after working hard and got promoted in the new job. What will Others want to do next? ,"['Say congratulations', 'Make reservations for a table', 'Make reservations at the restaurant']",0," After working tirelessly and impressing her bosses, Austin took her team out for a celebratory dinner and was recognized with a promotion in her new job.  What will Others want to do next? ","['Say congratulations', 'Make reservations for a table', 'Make reservations at the restaurant']",2,0,TRUE,FALSE
1183, Quinn hired Lee for a photo shoot as a swimwear model. Quinn posed Lee in several positions and thought he looked best after she crossed his arms. Why did Quinn and Lee work together? ,"['Was a photographer and needed a model for a shoot', 'Make sure they looked alright', 'And Lee were both swimwear models']",0," Quinn chose Lee for a swimwear photo shoot and had him strike a variety of poses, which showcased his toned body to perfection. Quinn felt that Lee looked particularly handsome when he crossed his arms, adding a touch of masculinity to the images.  Why did Quinn and Lee work together? ","['Was a photographer and needed a model for a shoot', 'Make sure they looked alright', 'And Lee were both swimwear models']",2,0,TRUE,FALSE
1187, Lee made copies so that everyone at the table could follow along. What will Lee want to do next? ,"['Keep all the copies', 'Find a copy machine', 'Make sure there are enough']",1, Lee prepared duplicate materials to ensure that every woman at the table was able to participate fully.  What will Lee want to do next? ,"['Keep all the copies', 'Find a copy machine', 'Make sure there are enough']",2,2,FALSE,TRUE
1194," Wanting to make some extra money for college, Cameron worked every day at the supermarket. How would Cameron feel afterwards? ","['Responsible', 'A person who worries about their financial status', 'A person who worries about their savings']",1," Aspiring to earn some extra cash for her college expenses, Cameron dedicated herself to working diligently at the supermarket every day.  How would Cameron feel afterwards? ","['Responsible', 'A person who worries about their financial status', 'A person who worries about their savings']",0,0,FALSE,TRUE
1196, Riley was the best of friends when he was in a good mood. What will happen to Riley? ,"['Resentful', 'Unloved', 'Be loved by many']",1, Riley was always so much fun to be around when he was in a good mood.  What will happen to Riley? ,"['Resentful', 'Unloved', 'Be loved by many']",2,2,FALSE,TRUE
1211, Ash cannot function and be productive without having breakfast. What will Ash want to do next? ,"['Wash the dishes', 'Go back to sleep', 'Go to school']",2," Without a nutritious breakfast, Ash struggles to function and accomplish his tasks effectively.  What will Ash want to do next? ","['Wash the dishes', 'Go back to sleep', 'Go to school']",1,0,FALSE,FALSE
1212, Cameron showed it off their friends when he got a new sports car. How would Others feel as a result? ,"['Jealous of Cameron', 'Wealthy', 'Pleased with their own cars']",0," Cameron proudly displayed his shiny new ride to his pals, earning plenty of oohs and aahs.  How would Others feel as a result? ","['Jealous of Cameron', 'Wealthy', 'Pleased with their own cars']",2,0,TRUE,FALSE
1213, Casey was being silly and kept them up all night. What will Casey want to do next? ,"['Play together', 'Get some sleep', 'Have fun']",0," Casey's antics were so silly that she kept us awake all night long."" (more formal, emphasis on the negative impact of Casey's behavior)  What will Casey want to do next? ","['Play together', 'Get some sleep', 'Have fun']",1,1,FALSE,TRUE
1214," Jesse was feeling very hungry but didn't like the school cafeteria food, so he left the premises with permission. What will Jesse want to do next? ","['Go eat at home', 'Did this to get food', 'Did this to satisfy hunger']",0," Jesse was really craving something tasty, but the cafeteria food just wasn't doing it for him, so he left campus with authorization.  What will Jesse want to do next? ","['Go eat at home', 'Did this to get food', 'Did this to satisfy hunger']",2,0,TRUE,FALSE
1217, Jordan brought Bailey's kids a toy because they wanted Bailey kids to be happy and entertained. What will Jordan want to do next? ,"['Smile', 'Give the toys to her kids', 'Be angry']",0," Jordan thoughtfully brought a toy for Bailey's kiddos, hoping it would put big smiles on their faces and create lasting memories.  What will Jordan want to do next? ","['Smile', 'Give the toys to her kids', 'Be angry']",1,1,FALSE,TRUE
1218, Kai liked to play games with their friends. They spent several hours online. How would Kai feel afterwards? ,"['Computer savvy', 'Sad', 'Needed']",2," Kai had a blast playing games with her pals online, and they spent hours together having a great time.  How would Kai feel afterwards? ","['Computer savvy', 'Sad', 'Needed']",0,0,FALSE,TRUE
1226," Addison had been practicing for the driver's exam for months. He finally felt he was ready, so he signed up and took the test. How would you describe Addison? ","['Excited', 'Careless', 'Devoted']",2," After months of studying for the driver's exam, Addison finally felt confident enough to sign up and take the test.  How would you describe Addison? ","['Excited', 'Careless', 'Devoted']",0,2,TRUE,FALSE
1229, Addison ate their bread and then immediately asked for seconds and thirds. How would you describe Addison? ,"['Stuffed', 'Glutenous', 'Careful about food']",0," Addison enjoyed their bread so much that they asked for more right away, and even went back for thirds!  How would you describe Addison? ","['Stuffed', 'Glutenous', 'Careful about food']",1,1,FALSE,TRUE
1234, Alex took up collection of stamps after going to the antique store and bought them. What will Alex want to do next? ,"['Put the book on display', 'Store who has stocked collection of stamps', 'Alex who has take a collection of stamps at antique store']",0," After going to the antique store, Alex discovered a new passion for stamp collecting and bought some beautiful stamps.  What will Alex want to do next? ","['Put the book on display', 'Store who has stocked collection of stamps', 'Alex who has take a collection of stamps at antique store']",1,0,TRUE,FALSE
1235," After Jesse thoroughly criticized Riley's new painting, Riley regarded Jesse with hurtful eyes. What will Jesse want to do as a result? ","[""Tell Riley they're sorry for what they said"", 'Tell Riley they are sorry for the painting', 'Apologize to Riley for the painting']",0," After Jesse bluntly criticized Riley's artwork, Riley gazed at him with hurt and offense.  What will Jesse want to do as a result? ","[""Tell Riley they're sorry for what they said"", 'Tell Riley they are sorry for the painting', 'Apologize to Riley for the painting']",2,0,TRUE,FALSE
1240, Austin took them out for dinner and the others were pleased when he told them to pick something off of the dessert menu. What will happen to Others? ,"['The others will order dessert', 'The others will close their menue', 'Smiles']",0," Austin took the ladies out for a delicious dinner, and they were delighted when he suggested they each pick out a sweet treat from the dessert menu.  What will happen to Others? ","['The others will order dessert', 'The others will close their menue', 'Smiles']",2,0,TRUE,FALSE
1243, Robin went to school with Jan and went to her first class with her as well. What will Robin want to do next? ,"['Go home', 'Sleep', 'Work in class']",2," Robin and Jan went to school together, with Robin joining Jan in her first class.  What will Robin want to do next? ","['Go home', 'Sleep', 'Work in class']",0,2,TRUE,FALSE
1244, Alex needed help cleaning the kitchen and Aubrey was helpful and cleaned as well. How would you describe Aubrey? ,"['Loving', 'Proud', 'As someone who helps friends']",0," Alex was feeling overwhelmed with the mess in the kitchen, so Aubrey lent a hand and together they tidied up the space.  How would you describe Aubrey? ","['Loving', 'Proud', 'As someone who helps friends']",2,2,FALSE,TRUE
1253, Carson had homework they had to do but they were at a friends house playing video games. How would you describe Carson? ,"['As someone not as concerned about what they should be doing as they should', 'As someone who could be thinking about what they should be doing if the could', 'As someone who likes to do thing']",1," Carson had her homework to complete, but she was at her friend's house having a blast playing video games together.  How would you describe Carson? ","['As someone not as concerned about what they should be doing as they should', 'As someone who could be thinking about what they should be doing if the could', 'As someone who likes to do thing']",0,0,FALSE,TRUE
1255, Robin refused to pay her share of the meal even though everybody had agreed beforehand. What will Others want to do next? ,"['Stop inviting Robin', 'Take advantage', 'Save money']",1," Despite everyone's earlier agreement, Robin declined to pay her portion of the meal.  What will Others want to do next? ","['Stop inviting Robin', 'Take advantage', 'Save money']",2,0,FALSE,FALSE
1263, Quinn crossed Lee's arms and posed him for the picture. Why did Quinn do this? ,"['Begrudgingly take the photo', 'Did this to prepare', 'Did this to be funny']",1, Quinn lovingly adjusted Lee's arms and secured him in place for an adorable photo opportunity.  Why did Quinn do this? ,"['Begrudgingly take the photo', 'Did this to prepare', 'Did this to be funny']",2,1,TRUE,FALSE
1264, Taylor knew he was right and proved Carson's point that day. Why did Taylor do this? ,"['Look dumb in front of friends', 'Superior to others', 'Make a statement']",0," Taylor assertively demonstrated the validity of Carson's perspective, showcasing her ability to effectively communicate her ideas.  Why did Taylor do this? ","['Look dumb in front of friends', 'Superior to others', 'Make a statement']",2,2,FALSE,TRUE
1278," After catching them cheating together on the exam, Jan gave them an F. Why did Jan do this? ","['Punish their bad behavior', 'Make them fail the class', 'Catch them']",2," Upon discovering that they had conspired to cheat on the exam, Jan penalized them with an F.  Why did Jan do this? ","['Punish their bad behavior', 'Make them fail the class', 'Catch them']",0,0,FALSE,TRUE
1282, kendall showed all their friends how to play the game so they could all play together. What will Others want to do next? ,"['Play it right', 'Win the game', 'Play it wrong']",2," Kendall kindly taught all their friends how to play the game, so they could enjoy it together and have a great time.  What will Others want to do next? ","['Play it right', 'Win the game', 'Play it wrong']",0,0,FALSE,TRUE
1285, Carson wanted to celebrate his dad's 50th birthday with him. Carson visited their dad with a gift. Why did Carson do this? ,"[""Give carson's dad a gift"", ""Celebrate carson's dad's birthday"", 'Surprise his dad']",0," Carson was determined to make her dad's 50th birthday unforgettable, so she went to see him with a heartfelt gift in hand.  Why did Carson do this? ","[""Give carson's dad a gift"", ""Celebrate carson's dad's birthday"", 'Surprise his dad']",1,2,FALSE,FALSE
1286, Cameron found Skylar's friends in the park playing some games that day. How would Skylar feel as a result? ,"['Loved now', 'Bored now', 'Passive now']",2," Skylar was hanging out with her pals in the park, playing games and having a blast that day.  How would Skylar feel as a result? ","['Loved now', 'Bored now', 'Passive now']",0,0,FALSE,TRUE
1287, Jan took the kids to NYC and the saw a Broadway play with the others. What will Others want to do next? ,"['Critique the play', 'Purchase tickets', 'Travel to NYC']",1," Jan chaperoned her adorable kiddos to the Big Apple, where they enjoyed a fabulous Broadway show with their friends.  What will Others want to do next? ","['Critique the play', 'Purchase tickets', 'Travel to NYC']",0,0,FALSE,TRUE
